position_name,city,company_name,salary,education,industry,address,industryLables,label,advantage,size,stage,work_year,position_detail
4.3年及以上工作经验，其中至少2年社交网络、网络爬虫、推荐系统或NLP等相关项目经验，有互联网、科技类企业从业经历者优先；
5.有较强的语言表达、沟通能力和分析解决问题的能力，抗压能力强。
?

"

机器学习工程师,北京,北京微步在线科技有限公司,20k-40k,硕士,信息安全,,[],"['股票期权', '带薪年假', '五险一金', '扁平管理']","期权激励,绩效奖金,九险一金,晋升空间",50-150人,B轮,1-3年,"
职位描述：

职责描述：
?
负责结合传统机器学习方法对安全数据进行分析，负责分类器的选型和开发（模型特征选取，模型测试），维护和优化现有模型。
结合一定的安全攻防经验，从威胁数据中提取有价值的信息。
熟练使用spark、mapreduce等工具对数据进行预处理
?
?
职位要求：
熟悉基本机器学习算法，
了解机器学习在图像处理中的应用，
了解机器学习在自然语言处理中的应用，
熟练掌握Python，
熟悉基础的机器学习框架和深度学习框架，
熟悉神经网络的原理和应用场景，
熟悉开源分布式计算框架、开源流处理框架，
较强数学背景，需要了解概率、微积分、线性代数在机器学习中的作用，
有深度学习经验者更佳

"

机器学习工程师（偏工程）,上海,星环信息科技（上海）有限公司,15k-30k,本科,数据服务,"['田林', '漕河泾', '漕宝路']",[],"['五险一金', '年底双薪', '带薪年假', '弹性工作']",技术氛围好，扁平化管理，,150-500人,C轮,不限,"
职位描述：

职位介绍：1.负责星环机器学习和数据挖掘产品的工程开发工作，包括整合框架以及常用算法。2.负责机器学习和深度学习框架的研究和改进。3.负责分布式计算平台的设计、实现与改进。

技能要求：1.扎实的数据结构、算法基础，熟悉c++,java或者scala优先。2.熟悉sparkcore/sparksql优先。3.有大规模分布式计算引擎设计与实现经验的优先。4.熟悉机器学习框架优先。5.有大数据经验，熟练部署与使用Hadoop/Spark集群的优先。

"

资深机器学习研究员,北京,联想（北京）有限公司,30k-60k,硕士,"移动互联网,数据服务",,[],"['技能培训', '待遇优厚', '晋升空间', '五险一金']","技术氛围好,福利待遇好",2000人以上,上市公司,5-10年,"
职位描述：

PositionDescription:
1.负责机器学习、深度学习领域的技术研发工作，包括但不限于神经网络模型设计与优化、增强学习、迁移学习、统计学习等；
2.特征提取与稀疏学习、机器学习算法并行化、机器学习算法优化等的算法和系统研发；
3.对计算机视觉、语音识别、自然语言处理、垂直应用等领域提供模型支持；
4.负责机器学习前沿问题的探索与研究，结合未来实际应用场景，提供全面的技术解决方案。
5.负责机器学习项目的技术研发，保证项目研发进度和质量；
?
PositionRequirements:
1.机器学习、人工智能、模式识别别等领域的计算机科学、电子工程或其它人工智能相关专业博士，硕士；
2.有机器学习、人工智能、计算机视觉、自然语言处理、语音识别等领域企业的工作经验；
3.精通至少一种编程语言，包括但不限于Python，C/C++、C#、Java等；
4.在计算机科学顶级会议和期刊如NIPS、ICML、CVPR、ICCV、AAAI、KDD、ACL、PAMI、IJCV等发表过论文者优先考虑；
5.对机器学习有比较深入的理解，有机器学习学术或工程项目经验者优先考虑；
6.有热情了解和尝试新算法、架构，有较强的学习能力；
7.有良好的逻辑思维能力，能清晰的梳理机器学习技术应用于实际问题的思路；
8.有较强的沟通能力，能够逻辑清晰地进行自我表达，团队合作意识强，与人沟通积极主动；
9.使用过常见的机器学习或深度学习架构，例如Tensorflow，Caffe，Torch或Theano等，对这些框架源码有研究的优先

"

优酷-机器学习/深度学习工程师,北京,大鱼快乐有限公司,16k-30k,本科,"文化娱乐,移动互联网","['中关村', '知春路', '苏州街']",[],"['年底双薪', '股票期权', '绩效奖金', '定期体检']","平台大,大牛多,薪酬福利,成长空间",2000人以上,上市公司,3-5年,"
职位描述：

职位描述：
1.推进计算机视觉和深度学习领域的核心算法；
2.构建计算机视觉或深度学习领域的关键应用；
职位要求：
1.熟悉机器学习的基本方法(降维、分类、回归、排序等等)
2.熟悉深度学习原理和基本模型，熟练使用Caffe，Theano或其他常用深度学习工具，并能够灵活的解决实际问题
3.熟悉计算机视觉和图像处理的常用方法(物体检测、跟踪、分割、分类识别等)。学习能力强
4.有很强的工程能力，精通C++,Python或至少一种常见编程语言
5.有发明创造的理想和热情，致力于创造解决实际问题

"

机器学习工程师,北京,互动峰科技(北京)有限公司,20k-40k,本科,医疗健康,"['四惠', '十里堡', '甘露园']","['医疗健康', '算法', '数据挖掘']","['五险一金', '带薪年假', '绩效奖金', '专项奖金']","五险一金,年底双薪,定期体检,发展空间",500-2000人,D轮及以上,3-5年,"
职位描述：

工作职责：1.用机器学习、文本挖掘等技术，对结构化和非结构化数据进行挖掘，发现其潜在关系，指导医疗大数据应用落地；2.构建通用的分布式环境下机器学习系统，快速支持算法应用；3.参与文本意图分析，包括文本分类和聚类，拼写纠错，实体识别与消歧，中心词提取，短文本理解等；4.探索医疗AI领域。工作要求：1.计算机/通信等相关专业，统招一本及以上学历，有较好的理论基础和快速的学习能力；2.熟练掌握TensorFlow，pyTorch，Caffe，HTS等社区开源工具中的一种及以上；3.对常用的机器学习/深度学习算法有深入理解，例如：LR/GMM/SVM/CRF/MaxEnt/HMM/NN等；4.熟悉linux开发环境，掌握至少一门编程语言，如C++、Python等；5.有NLP或图像领域的工作或研究经验，搭建过实际线上系统者优先；6.表达能力强，乐观向上，自我驱动力强，具备敏锐的洞察力和良好的抗压能力。

"

计算机视觉/机器学习工程师--大数据&amp;滴滴研究院(J13266),北京,北京嘀嘀无限科技发展有限公司,25k-50k,硕士,移动互联网,"['西北旺', '马连洼', '上地']",[],"['弹性工作', '节日礼物', '岗位晋升', '技能培训']",领域新、挑战大、福利棒,2000人以上,不需要融资,3-5年,"
职位描述：

工作职责：
1.开发让汽车耳聪目明的计算机视觉算法和产品。

任职资格：
1.扎实的图像分析和模式识别理论基础，精通目标检测、跟踪、识别等常见的计算机视觉处理任务；
2.悉深度学习原理和基本模型，熟练使用Caffe，Theano或其他常用深度学习工具，并能够灵活的解决实际问题；
3.扎实的数学基础，精通常见的几何、统计学等，并熟悉这些技术在图像识别领域中的应用；
4.很强的工程能力，精通C++语言以及至少另一种常见编程语言；
5.悉高性能运算加速工具如Neon以及GPGPU技术如GLES，CUDA和OpenCL等。

"

搜狗机器翻译-机器学习研究员-北京-02886,北京,北京搜狗科技发展有限公司,15k-30k,本科,"移动互联网,数据服务","['五道口', '清华大学', '中关村']",[],"['岗位晋升', '扁平管理', '管理规范', '精英团队']",战略重点项目，强大的技术支撑,2000人以上,上市公司,1-3年,"
职位描述：

【项目介绍】??
机器翻译项目是搜狗公司级重点项目,我们的目标是打破语言障碍，为13亿中国人提供优质的外语信息服务。目前我们已经搭建了自己的在线翻译?,并全球首发跨语言检索,为用户提供高质量的英语搜索服务，同时将搜索结果翻译为汉语帮助用户理解。在单语世界到多语世界的发展潮流中，搜狗机器翻译技术正在迅速改变人们的工作和生活方式。?
【职位亮点】战略重点项目，强大的技术支撑、海量的翻译语料、高效精干的团队，满足亿万用户的跨语言检索需求。
【特别提示】搜狗欢迎专情的你，所以提醒你只能选择两个项目，请慎重投递。
【岗位职责】
1.?机器翻译各类相关算法研发，包括神经网络机器翻译、统计机器翻译等.
2.?其他机器翻译相关的机器学习、自然语言处理功能研发
3.?满足机器翻译相关产品其他需求
【任职条件】
1.?计算机相关专业本科以上学历；
2.?具有数据挖掘、自然语言处理或机器学习相关经验；
3.?具备linux平台下的C/C++开发能力；
4.?熟练掌握shell、awk、python等脚本工具；
5.?基础扎实，熟练掌握数据结构、对常用算法有较深入的理解；
6.?优秀的分析问题和解决问题的能力；
7.?良好的团队合作精神，较强的沟通能力。

"

量化研究员（机器学习）,上海,奥可纳软件技术 （ Akuna Capital),30k-60k,本科,金融,,[],"['技能培训', '扁平管理', '定期体检', '五险一金']","机器学习,金融科技,策略开发",15-50人,不需要融资,3-5年,"
职位描述：

·????????你对做市商有兴趣吗？
·????????你对运用数学，统计，机器学习到量化交易中有兴趣吗？
·????????你对自动化交易有兴趣吗？
·????????你对高性能系统有极致追求吗？

【社招】量化研究员（机器学习）-美国顶尖交易公司-上海
量化交易策略开发
关键技能:统计学，数学建模，Python，量化研究，机器学习，英语
AkunaCapitalisatradingfirmwithastrongfocusoncutting-edgetechnology,datadrivendecisionsandautomation.Ourcorecompetencyisprovidingliquidityasanoptionsmarket-maker–meaningweprovidecompetitivequotesthatwearewillingtobothbuyandsell.Todothissuccessfullywedesignandimplementourownlowlatencytechnologies,tradingstrategiesandmathematicalmodels.Wefoundedin2011inChicago.
Akuna的量化交易和研究团队正在积极搜寻量化研究员加入到一支由数学家、统计学家和技术专家组成的团队之中。该团队通过将量化专业知识与对衍生品和金融市场的复杂理解结合起来,科学地创造交易策略。我们正在寻找可以应用和开发机器学习算法，数学模型，统计,用于开发交易策略。
?
在Akuna作为量化研究员会做什么：
·????????运用统计，机器学习算法，数学模型等开发量化交易策略
·????????设计和实现组合结构的优化算法
·????????努力推动现有的项目,进行量化研究，探索新的交易机会
?
如何成为优秀候选人:
·????????2年以上量化研究，量化开发相关领域的专业工作经验
·????????清华，北大，交大，复旦等顶尖名校的统计学或数学专业，本科以上学历
·????????具有量化分析，研究和机器学习方面的专业知识
·????????具备Python编程技能(C++是加分项)
·????????在实际应用中使用真实世界数据集的经验
·????????良好的中英文沟通能力
?

"

机器学习工程师（武汉）,武汉,威讯柏睿数据科技（北京）有限公司,8k-15k,硕士,"数据服务,信息安全",,"['大数据', '云计算', 'Java', '算法', '数据挖掘', '数据仓库']","['股票期权', '专项奖金', '带薪年假', '弹性工作']","大数据,技术大牛",50-150人,B轮,应届毕业生,"
职位描述：

实习合格可转正式员工。
岗位职责：
1)匹配金融反欺诈、安全策略、精准营销等业务场景，使用机器学习、文本挖掘、用户特征提取、用户聚类分类、推荐系统协同过滤等技术，设计数据建模（模型/算法）解决方案，对业务数据进行分析和建模，并负责各类数据挖掘模型的开发、应用、监控优化，支撑公司数据挖掘课题落地。
2)开展数据挖掘分析算法/工具研究工作，研发创新方法解决业务问题，并组织相应方法／工具的引入，技术规范制定和推广。

任职资格：
1）计算机、数学、统计或其他相关领域硕士学历；
2）熟悉数理统计、机器学习具体实施方法；
3）擅长常用统计，如线性回归、逻辑回归、时间序列、聚类及神经网络等
4）能有效完成报告呈现和数据解读；
5）海量数据处理和挖掘经验者优先。

"

机器学习工程师,北京,互动峰科技(北京)有限公司,35k-70k,硕士,医疗健康,"['工体', '朝外']","['医疗健康', '算法', '数据挖掘', '数据分析']","['五险一金', '带薪年假', '绩效奖金', '专项奖金']","发展空间大,薪资福利好",500-2000人,D轮及以上,不限,"
职位描述：

工作职责：
1.用机器学习、文本挖掘等技术，对结构化和非结构化数据进行挖掘，发现其潜在关系，指导医疗大数据应用落地；
2.构建通用的分布式环境下机器学习系统，快速支持算法应用；
3.参与文本意图分析，包括文本分类和聚类，拼写纠错，实体识别与消歧，中心词提取，短文本理解等；
4.探索医疗AI领域。

工作要求：
1.计算机/通信等相关专业，硕士及以上学历，有较好的理论基础和快速的学习能力；
2.熟练掌握TensorFlow，pyTorch，Caffe，HTS等社区开源工具中的一种及以上；
3.对常用的机器学习/深度学习算法有深入理解，例如：LR/GMM/SVM/CRF/MaxEnt/HMM/NN等；
4.熟悉linux开发环境，掌握至少一门编程语言，如C++、Python等；
5.有NLP或图像领域的工作或研究经验，搭建过实际线上系统者优先；
6.表达能力强，乐观向上，自我驱动力强，具备敏锐的洞察力和良好的抗压能力。

"

算法工程师-机器学习,北京,北京麒麟合盛科技有限公司,25k-50k,本科,移动互联网,"['望京', '来广营', '花家地']","['广告营销', '人工智能', '深度学习']","['技能培训', '节日礼物', '丰富的团建', '扁平管理']","五险一金,补充商业医,餐补房补,大牛云集",150-500人,C轮,3-5年,"
职位描述：

工作职责：
1.负责商城个性化推荐算法设计、开发；
2.大数据分析，推荐策略优化；
3.推荐系统相关的特征计算，数据分析等；
4.优化资讯内容的排序，提升用户发布内容的转化率
5.优化模型和召回，提升内容的分发效率，改善用户体验
6.搭建和优化推荐、排序系统，提供稳定的线上服务
7.负责海量业务数据的数据分析和模型设计工作；
8.根据不同应用场景业务需求，应用统计建模、数据挖掘、机器学习方法建立数据模型；
职位要求：
1.本科以上学历，3年以上工作经验，扎实的推荐算法/机器学习/数据挖掘理论和技术基础，
2.对推荐系统、机器学习和大数据处理感兴趣，熟悉其中一项或者多项，
3.丰富的机器学习开发经验，对常用的机器学习算法有较为深刻的理解；
4.熟悉Hive/Hadoop/pig等大数据分析工具；有一定的统计学基础，对数据有敏锐的洞察力；
5.熟悉Shell/Python等脚本语言，善于分析日志；
6.良好的团队合作精神，较强的沟通能力；主动性强，有很强的自我驱动力；
7.有推荐，搜索或者广告相关工程实践经验者优先；

"

机器学习工程师,北京,禾多科技（北京）有限公司,15k-30k,本科,"移动互联网,硬件",,"['汽车', '地图', '人工智能', '计算机视觉', '图像处理', '算法']","['带薪年假', '绩效奖金', '股票期权', '弹性工作']","14薪,弹性工作,福利多,扁平管理",50-150人,天使轮,3-5年,"
职位描述：

岗位职责：
1、多传感器的融合；
2、标准的辅助驾驶技术，如自适应巡航（ACC），前向防碰撞预警（FCW），车道偏离预警（LDW）和车道保持（LKA）等；
3、机器学习算法，如深度神经网络，增强学习和概率图模型等；
岗位要求：
1、电子工程、计算机科学与技术、自动化及其他相关领域本科及以上学历，硕士及以上学历为佳；
2、在机器学习，计算机视觉，3D几何，优化和高性能计算领域，具有至少3年的研发经验，在辅助驾驶和自动驾驶领域具有实战经验为佳；
3、优秀的C/C++编程能力；
4、能够在成员背景各异的团队中高效的开展工作；
5、具备较强的沟通能力，能够在压力下保质保量的按时完成工作；
加分项：
1、发表过相关领域的优秀论文；

"

机器学习及算法工程师,杭州,杭州哲信信息技术有限公司,20k-40k,本科,移动互联网,['西溪'],[],"['节日礼物', '带薪年假', '绩效奖金', '年度旅游']","六险一金,节日福利,定期体检,交通补贴",150-500人,上市公司,3-5年,"
职位描述：

职位描述：
1、参与对话机器人系统构建。2、负责相关AI算法的研发与完善。

任职要求：
1.有较深厚的机器学习与深度学习基础，熟悉理解常用机器学习算法及应用场景。2.熟悉NLP相关算法，有NLP实战经验。3.具有聊天机器人系统建设经验，熟悉意图识别、NER相关技术。4.熟悉python,熟练使用Tensorflow,Pytorch等深度学习框架。5.有较强的编程能力和文献阅读能力，较强的技术攻关能力，能够跟进领域内最新技术研究成果，并结合应用场景快速实验和调优。6.数学、计算机或相关专业本科以上学历。2,3满足其一即可。

"

机器学习工程师,北京,上海业霆网络科技有限公司,15k-25k,硕士,"移动互联网,教育","['北京大学', '中关村', '知春路']",[],"['专项奖金', '股票期权', '弹性工作', '年度旅游']","发展平台好,成长空间大,薪资待遇好,办公环境佳",500-2000人,C轮,3-5年,"
职位描述：

岗位职责：
1、负责机器学习领域的技术研发，对前沿问题的探索与研究
2、结合产品实际应用场景，提供全面的技术解决方案
?
任职要求：
1、计算机科学、电子工程、数学、统计学或其它人工智能相关专业硕士、博士
2、对常见的机器学习算法有比较深入的理解，扎实的数据分析和建模能力
3、有计算机视觉、自然语言处理、数据挖掘等领域的项目经验
4、精通Python，熟悉常见的机器学习框架
5、具有丰富的GPU与CUDA研发经验

"

机器学习工程师,北京,北京望石智慧科技有限公司,30k-50k,硕士,"医疗健康,人工智能",['中关村'],[],"['""""']","牛人多,股票期权,国际视野",少于15人,天使轮,3-5年,"
职位描述：

工作内容：
1.探索人工智能用于小分子药物发现的新算法；
2.建立多功能人工智能支持技术平台--分子设计平台，帮助加快药物发现过程；
?
要求：
1.具有985高校、研究所或海外知名高校的计算化学、生物信息学、计算机科学或相关学科的博士学位；
2.具备机器学习、深度学习项目实践经验；
3.熟悉Linux平台上的C/C++/Java编程，熟悉常用脚本语言Shell、Python等，有3年以上高效、高可用代码开发经验；
4.具备自我学习能力，对未知领域能快速掌握并实践应用；
5.积极主动，责任心强，对AI和新药研发领域有浓厚的兴趣，有良好的科研素养。
?
加分项：
1.有药物发现经验者优先；
2.有顶级比赛参赛经验，计算化学或机器学习领域发表过高质量论文及顶级会议论文者优先（满足其中一项即可），薪资可面谈。

"

机器学习工程师,成都,成都超有爱科技有限公司,20k-40k,本科,"移动互联网,教育",,"['教育', 'Java', '算法', '数据挖掘']","['股票期权', '年底双薪', '管饭！', '超爱学习']","期权,团队扁平,快速发展",150-500人,D轮及以上,1-3年,"
职位描述：

岗位职责：

1、对用户学习行为进行分析、特征抽取和建模，优化学习策略；
2、结合机器学习、数据挖掘等技术，设计和构建科学的英语测评体系；
3、探索机器学习服务于在线教育行业的前沿技术。

岗位要求：

1、本科及以上学历，扎实的计算机基础，精通算法、数据结构；
2、熟悉C、C++等某种或多种语言，熟悉常用的机器学习算法模型；
3、沟通能力强，乐于进行团队合作，执行力强，有责任心。

薪资福利：

20k~40k（13个月）
MBP+DellU2713HMCherry黑色青轴3000机械键盘
1、真实可靠的期权，一不小心就变富富富了有没有；
2、免费三餐（餐标60/天），号称软件园餐标最高的地儿；
3、六险一金，公司额外购买两人份商业保险；
4、入职kindlepaperwhite+500元亚马逊读书卡；
5、每年爱康国宾超豪华体检包一份（还可以带上你的TA）；
6、全年健身卡，好好锻炼你的右臂吧；
7、周三、周四晚包场的内部羽毛球和篮球；
8、超多节假日小礼品，什么元祖的粽子七夕的巧克力啦；
9、定期的团队建设（我们去过太子岭滑雪，去过青城山住别墅，去过海螺沟看雪山）；
10、上班时间自由不打卡，管理扁平，觉得CEO桌子不错可以直接过去搬过来用。

"

机器学习系统工程师,上海,上海乐言信息科技有限公司,25k-50k,硕士,企业服务,,[],['股票期权'],"顶尖团队,早期期权",50-150人,A轮,3-5年,"
职位描述：

职责
1.负责公司机器学习框架构建，各种ML算法的集成、训练、部署、分发和版本管理，为公司智能产品提供基础支撑
2.负责各种（弱或无）标注数据的收集和使用，训练相应的学习模型供NLP或知识图谱使用
3.支持基于增强学习和主动学习的反馈收集、日志分析的算法持续优化
4.支持用户画像的建模与学习以及自动化推荐

应聘要求
1.三到五年相关工作经验
2.硕士研究生及以上学历，计算机相关专业
3.熟悉Java和至少一种脚本语言
4.较强的系统编程能力以及多线程编程能力
5.了解常用机器学习库，例如sklearn、xgboost
6.了解深度学习常用算法，掌握Tensorflow、MXNet、Keras或PyTorch中任意一个
7.有基于MPI或ParameterServer分布式机器学习系统经验，或有Hadoop/Spark等大数据平台实践经验者优先
8.有机器学习或深度学习技术应用于NLP、KG构建和对话系统经验者优先

"

高级机器学习研究员,北京,联想（北京）有限公司,30k-50k,硕士,"移动互联网,数据服务","['西二旗', '龙泽', '回龙观']","['云计算', '大数据', '数据挖掘']","['技能培训', '待遇优厚', '晋升空间', '五险一金']","五险一金,团队好,加班少,周末双休",2000人以上,上市公司,3-5年,"
职位描述：

Responsibilities:

基于数据中心及边缘计算节点的运行数据，负责研发创新模型、算法及解决方案实现系统的智能运维。
包括自动学习系统及应用的行为，识别系统异常及根因分析，预测问题，基于历史经验的增强学习等等。

SkillRequirements:
1.???计算机或者相关领域硕士以上学位
2.???精通数据分析、机器学习或者其它人工智能技术
3.???熟练运用至少一种数据分析及机器学习编程语言及工具
4.???有实际人工智能行业解决方案或者大数据分析经验者优先
5.???了解分布式系统、云计算、IT运维技术者优先

"

机器学习,北京,北京创智优品科技有限公司,15k-30k,本科,"移动互联网,游戏","['朝阳门', '建国门']","['广告营销', '视频', '算法', '数据挖掘']","['节日礼物', '顶配Mac', '小而美', '扁平管理']","六险一金,年底双薪,出国旅行,包午晚餐",150-500人,不需要融资,1-3年,"
职位描述：

工作职责：
1、在用户行为、个性化推荐和feed流推荐等算法上进行持续跟进和优化
2、构建对个性化搜索、推荐数据等进行排序的模型，并进行模型优化和效果跟踪
3、对海量用户数据和内容数据进行画像系统构建和持续优化
4、对海量图片、视频、文本数据进行深入挖掘和分析
5、跟踪和探索业界最新算法，并在业务中寻找合适的落地点

任职要求：
1、计算机、数学等相关专业本科以上学历，1-3年数据挖掘或机器学习工作经验
2、有扎实的数据结构和算法基础，熟悉机器学习中LR\SVM\DecisionTree\GBDT等经典算法
3、编程基础扎实，至少熟悉Java、Scala、Python中一种语言，熟悉Linux开发环境
4、熟悉Hadoop、Hive、Spark等分布式数据处理框架，并有一定的实践项目经验
5、熟悉DNN相关算法原理，有Tensorflow\Keras\Pytorch等深度学习框架使用经验者优先
6、有广告、搜索、推荐等算法经验者优先
7、顶级会议论文发表者优先，IJCA、CVPR、KKD等

"

机器学习专家,北京,北京墨云科技有限公司,30k-60k,本科,信息安全,"['西北旺', '上地', '清河']",[],"['股票期权', '午餐补助', '交通补助', '领导好']",五险一金,15-50人,A轮,1-3年,"
职位描述：

岗位职责：
1、负责安全智能化相关的工作，对实际工程问题提供模型支持应用场景，提供全方位的解决方案
2、负责深度神经网络模型设计、在安全领域的实际应用及优化，
任职资格：
1、国内外知名高校硕士及以上学历，数学，统计，计算机，自动化，电子工程等相关专业优先
2、3年以上相关领域研究经验，精通Java/C/c++/Python中任意一种编程语言
3、在国内外知名学术会议或杂志上发表过人工智能领域论文

"

机器学习工程师,北京,北京闪银奇异科技有限公司,35k-60k,本科,"移动互联网,金融",,[],"['13~15薪', '晋升空间大', '定期体检', '能力定薪']","七险一金,免费健身,午餐自助,团队大牛",500-2000人,D轮及以上,1年以下,"
职位描述：

1、利用海量数据进行数据分析与建立模型工作；
2、对大数据进行featureselection,combination等featureengineering工作；
3、搭建大规模机器学习算法平台；
4、跟踪互联网领域最新的自然语言处理，及文本挖掘算法的进展和发展趋势；
5、建立和完善分析体系，跟踪模型的实施，定期优化算法和分析策略，提供建设性建议。

任职要求：
1、要求1年以上的工作经验，有大数据分析和处理经验；
2、统计学、应用数学、计算机等相关专业，本科及以上学历，985院校毕业生优先考虑；
3、对常用的机器学习算法、特征选择方法、数据建模过程有深入理解；
4、熟悉常用数据挖掘算法（如分类、聚类、回归、关联规则、神经网络等）及其原理，并具备相关项目经验；
5、熟练掌握R、Python等语言，并熟练使用SQL语句；
6、熟悉Hadoop,Storm，Spark等大数据技术以及适应场景,有大规模数据处理和日志处理经验的优先；
7、较强的数据敏感度，逻辑分析能力和文档写作能力；
8、勤奋踏实、工作积极主动、有责任心，能够在压力下工作。

"

量化研究员（机器学习）,上海,奥可纳软件技术 （ Akuna Capital),30k-60k,本科,金融,,[],"['技能培训', '扁平管理', '定期体检', '五险一金']","机器学习,金融科技,策略开发",15-50人,不需要融资,3-5年,"
职位描述：

·????????你对做市商有兴趣吗？
·????????你对运用数学，统计，机器学习到量化交易中有兴趣吗？
·????????你对自动化交易有兴趣吗？
·????????你对高性能系统有极致追求吗？

【社招】量化研究员（机器学习）-美国顶尖交易公司-上海
量化交易策略开发
关键技能:统计学，数学建模，Python，量化研究，机器学习，英语
AkunaCapitalisatradingfirmwithastrongfocusoncutting-edgetechnology,datadrivendecisionsandautomation.Ourcorecompetencyisprovidingliquidityasanoptionsmarket-maker–meaningweprovidecompetitivequotesthatwearewillingtobothbuyandsell.Todothissuccessfullywedesignandimplementourownlowlatencytechnologies,tradingstrategiesandmathematicalmodels.Wefoundedin2011inChicago.
Akuna的量化交易和研究团队正在积极搜寻量化研究员加入到一支由数学家、统计学家和技术专家组成的团队之中。该团队通过将量化专业知识与对衍生品和金融市场的复杂理解结合起来,科学地创造交易策略。我们正在寻找可以应用和开发机器学习算法，数学模型，统计,用于开发交易策略。
?
在Akuna作为量化研究员会做什么：
·????????运用统计，机器学习算法，数学模型等开发量化交易策略
·????????设计和实现组合结构的优化算法
·????????努力推动现有的项目,进行量化研究，探索新的交易机会
?
如何成为优秀候选人:
·????????2年以上量化研究，量化开发相关领域的专业工作经验
·????????清华，北大，交大，复旦等顶尖名校的统计学或数学专业，本科以上学历
·????????具有量化分析，研究和机器学习方面的专业知识
·????????具备Python编程技能(C++是加分项)
·????????在实际应用中使用真实世界数据集的经验
·????????良好的中英文沟通能力
?

"

大规模机器学习工程师,北京,北京小川在线网络技术有限公司,30k-60k,本科,移动互联网,,[],"['技能培训', '连续创业团队', '年度旅游', '扁平管理']","高薪高股,六险一金,房补,大牛云集",150-500人,B轮,3-5年,"
职位描述：

职位诱惑：
成长空间大,高薪高股,大牛云集,不打卡
职位描述：
职责:1.横跨系统与算法的边界，设计高效的分布式机器学习系统，能高效灵活地支持机器学习模型训练；?2.调研和实现业界机器学习算法前沿进展，有自己见解，并结合应用到最右的业务场景中?。要求:1.在业界top的推荐系统做过至少2-3年相关的研发工作，深入理解机器学习的相关算法原理，实现以及应用场景?2.机器学习、分布式系统方向的计算机专业的研究生或优秀本科生；熟悉常见的分布式编程范式以及设计模式；有一定的分布式计算系统与机器学习相结合的理论和实践基础；?3.对技术研究和应用抱有浓厚兴趣，有强烈的上进心和责任感，善于思考和运用新知识；?4.扎实的C/C++和python编码功底，熟悉MPI/CUDA等高性能计算框架；?5.在ACM/ICPC，GoogleJam，TopCoder，百度之星等比赛取得优异成绩的优先；?加分项：1.思考过TensorFlow/MXNet/Caffe/Theano/Torch等的架构代码和设计逻辑的优先；?2.对大规模分布式机器学习系统实践经验者优先；?3.有发表NIPS/ACL/AAAI/ICML/IJCAI/EMNLP/SIGKDD/ICCV/CVPR/OSDI/SOSP等顶会论文的优先；?4.如果您乐于设计和实现高性能优雅的系统，而又想拥抱大规模机器学习带来的可能性，欢迎加入我们。

"

机器学习/深度学习/数据挖掘/算法/模型开发,上海,北京趣拿软件科技有限公司,20k-40k,硕士,移动互联网,['北新泾'],"['互联网金融', '支付']","['技能培训', '节日礼物', '带薪年假', '无息住房贷款']","核心业务,发展空间,团队一流,薪资福利佳",2000人以上,不需要融资,3-5年,"
职位描述：

工作职责：1.开展机器学习/深度学习等相关领域研究和开发工作；2.负责搭建深度学习框架，解决金融方向相关的风控决策优化；3.跟踪及研究深度学习前沿技术。任职资格：1.计算机或数学专业研究生及以上学历，且有较好的数学/统计学基础；2.有较强的算法分析和实现能力，熟练掌握java/Python等编程语言，有Linux开发经验；3.熟悉通用机器学习算法，有丰富的利用机器学习算法解决实际业务问题的经验；4.熟悉至少一种DeepLearning训练工具(caffe/tensorflow/theano/keras/mxnet等)；5.熟悉深度学习不同架构的应用场景，了解训练过程中的trick；6.有kaggle等竞赛经历或ImageNet等大规模数据集经历优先

"

产品经理-机器学习方向,北京,北京京东世纪贸易有限公司,50k-100k,本科,"电子商务,数据服务","['亚运村', '大屯', '奥运村']","['电商', '产品设计', '电商']","['五险一金', '带薪年假', '免费班车', '定期体检']",弹性工作,2000人以上,上市公司,5-10年,"
职位描述：

【岗位职责】??????????????????????????????????????????????????????????????????????????????????????????????????????
1、将先进前沿的机器学习技术，落地运用到真实的业务场景中，实现“人工智能即服务”的理念；???
2、负责机器学习产品发展规划和阶段性目标，有效建立产品持续优化和改进机制，并协同交互、开发、测试、运营等团队，各相关部门，保障产品体系按计划实施，并达成既定业务目标；
3、实时掌握机器学习新技术、新产品的发展，并思考如何引入，与现有产品功能结合。关注业界竞品，不断探索创新。?
4、产品内部协作、人员成长及人才招募相关团队发展工作。

【岗位要求】
1、本科及以上学历，4年及以上机器学习产品经理经验；
2、有从0到1打造完整的产品体系经验，擅长分析行业趋势与市场动态，具备敏锐的业务触觉和独到的产品见解；
3、对机器学习技术在电商领域的应用价值有较丰富的思考和落地经验，能跟进需求快速产出初步解决方案能力；
4、清晰的逻辑分析和表达能力，乐观积极，具有较强的责任心和执行力。
5、热爱学习，眼界开阔，关注业界新兴流行的技术应用，具有创新性的思维和方法，在大数据、云计算、人工智能等领域内有深入思考和积累，对行业和技术的发展有自己的见解，并乐于分享。

"
